id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
12147973,Sunny Bungalow in the City,31303940,2015-04-15,"Boston, Massachusetts, United States",,94.98908,84.17309,f,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,House,Entire home/apt,4.0,1.5,2.0,3.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}",250.0,35.0,1.0,0.0,2.0,1125.0,0.0,91.916664,9.431571,9.258041,9.646293,9.646548,9.414042,9.168235,f,f,moderate,f,f,1.0,1.9709084
3075044,Charming room in pet friendly apt,2572247,2012-06-07,"Boston, Massachusetts, United States",within an hour,100.0,100.0,f,1.0,"['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio']",t,t,Roslindale,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",65.0,10.0,0.0,0.0,2.0,15.0,36.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,t,moderate,f,f,1.0,1.3
6976,Mexican Folk Art Haven in Boston,16701,2009-05-11,"Boston, Massachusetts, United States",within a few hours,100.0,88.0,t,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",65.0,68.38014,1.0,20.0,3.0,45.0,41.0,98.0,10.0,9.0,10.0,10.0,9.0,10.0,f,f,moderate,t,f,1.0,0.47
1436513,Spacious Sunny Bedroom Suite in Historic Home,6031442,2013-04-21,"Boston, Massachusetts, United States",within a few hours,100.0,50.0,f,1.0,"['email', 'phone', 'reviews']",t,f,Roslindale,House,Private room,4.0,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",75.0,50.0,2.0,25.0,1.0,1125.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1.0,1.0
7651065,Come Home to Boston,15396970,2014-05-11,"Boston, Massachusetts, United States",within an hour,100.0,100.0,t,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Private room,2.0,1.5,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",79.0,15.0,1.0,0.0,2.0,31.0,29.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,1.0,2.25
12386020,Private Bedroom + Great Coffee,64200298,2016-03-23,"Boston, Massachusetts, United States",within a few hours,100.0,95.0,t,2.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Condominium,Private room,2.0,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",75.0,30.0,1.0,0.0,2.0,1125.0,8.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,1.0,1.7
5706985,New Lrg Studio apt 15 min to Boston,6570877,2013-05-25,"Milton, Massachusetts, United States",within an hour,98.0,96.0,f,5.0,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",100.0,68.38014,1.0,25.0,1.0,1125.0,57.0,90.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,3.0,4.0
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,2012-08-05,"Boston, Massachusetts, United States",within a few hours,100.0,100.0,t,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,House,Private room,2.0,2.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",75.0,10.0,1.0,15.0,1.0,1125.0,67.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,t,t,2.0,2.38
753446,6 miles away from downtown Boston!,3962517,2012-10-24,"Boston, Massachusetts, United States",within an hour,100.0,100.0,t,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Condominium,Private room,2.0,1.0,1.0,2.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",58.0,68.38014,2.0,0.0,2.0,1125.0,65.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,1.0,5.36
849408,Perfect & Practical Boston Rental,4434391,2012-12-18,"Boston, Massachusetts, United States",within an hour,100.0,100.0,t,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Apartment,Entire home/apt,5.0,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",229.0,50.0,4.0,25.0,4.0,10.0,33.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,2.0,1.01
